block,neighbourhood,street,jewish_insitute,public_institution,gas_station,banco,car_thefts,month,education,employment_rate
761.0,Once,Castelli,0.0,0.0,0.0,0.0,0.0,4.0,12.216336250305176,0.9541666507720947
818.0,Once,Tte. Gral. Peron,0.0,0.0,0.0,0.0,0.0,4.0,13.1868314743042,0.9550827145576477
830.0,Once,Valentin Gomez,0.0,0.0,0.0,0.0,0.0,4.0,13.1868314743042,0.9550827145576477
817.0,Once,Tte. Gral. Peron,0.0,0.0,0.0,0.0,0.0,4.0,13.1868314743042,0.9550827145576477
768.0,Once,Paso,0.0,0.0,0.0,0.0,0.0,4.0,12.216336250305176,0.9541666507720947
803.0,Once,Rivadavia,0.0,0.0,0.0,0.0,0.0,4.0,12.893609046936035,0.9548872113227844
802.0,Once,Rivadavia,0.0,0.0,0.0,1.0,0.0,4.0,12.893609046936035,0.9548872113227844
766.0,Once,Paso,0.0,0.0,0.0,0.0,0.0,4.0,12.216336250305176,0.9541666507720947
839.0,Once,Corrientes,0.0,0.0,0.0,0.0,0.0,4.0,12.917641639709473,0.9528265595436096
837.0,Once,Corrientes,0.0,1.0,0.0,1.0,0.0,4.0,12.917641639709473,0.9528265595436096
838.0,Once,Corrientes,0.0,0.0,0.0,1.0,0.0,4.0,12.917641639709473,0.9528265595436096
753.0,Once,Pueyrredon,0.0,0.0,0.0,1.0,0.0,4.0,12.216336250305176,0.9541666507720947
751.0,Once,Pueyrredon,0.0,0.0,0.0,0.0,0.0,4.0,12.216336250305176,0.9541666507720947
750.0,Once,Pueyrredon,0.0,0.0,0.0,0.0,0.0,4.0,12.216336250305176,0.9541666507720947
752.0,Once,Pueyrredon,0.0,0.0,0.0,1.0,0.0,4.0,12.216336250305176,0.9541666507720947
754.0,Once,Pueyrredon,0.0,0.0,0.0,0.0,0.0,4.0,12.216336250305176,0.9541666507720947
524.0,V. Crespo,Araoz,0.0,0.0,0.0,0.0,0.0,4.0,12.89547061920166,0.950276255607605
522.0,V. Crespo,Araoz,0.0,0.0,0.0,0.0,0.0,4.0,12.89547061920166,0.950276255607605
523.0,V. Crespo,Araoz,0.0,0.0,0.0,0.0,0.0,4.0,12.89547061920166,0.950276255607605
571.0,V. Crespo,Apolinario Figuer,0.0,0.0,0.0,0.0,0.0,4.0,11.027907371520996,0.9364261031150818
593.0,V. Crespo,Honorio Pueyrredo,0.0,0.0,0.0,0.0,1.0,4.0,11.38242244720459,0.934725821018219
595.0,V. Crespo,Honorio Pueyrredo,0.0,0.0,0.0,0.0,0.0,4.0,12.015437126159668,0.9426481127738953
592.0,V. Crespo,Honorio Pueyrredo,0.0,0.0,0.0,0.0,0.0,4.0,11.38242244720459,0.934725821018219
594.0,V. Crespo,Honorio Pueyrredo,0.0,0.0,0.0,0.0,0.0,4.0,12.015437126159668,0.9426481127738953
566.0,V. Crespo,Antezana,0.0,0.0,0.0,0.0,0.0,4.0,10.415302276611328,0.9365609288215637
590.0,V. Crespo,Honorio Pueyrredo,0.0,0.0,0.0,0.0,0.0,4.0,11.38242244720459,0.934725821018219
596.0,V. Crespo,Honorio Pueyrredo,0.0,0.0,0.0,1.0,0.0,4.0,11.919889450073242,0.9265944361686707
561.0,V. Crespo,Ferrari,0.0,0.0,0.0,0.0,0.0,4.0,10.415302276611328,0.9365609288215637
580.0,V. Crespo,Galicia,0.0,0.0,0.0,0.0,0.0,4.0,11.027907371520996,0.9364261031150818
588.0,V. Crespo,R. E. de San Mart,0.0,0.0,0.0,0.0,0.0,4.0,11.38242244720459,0.934725821018219
583.0,V. Crespo,Tres Arroyos,0.0,0.0,0.0,0.0,0.0,4.0,11.156906127929688,0.9428263306617737
558.0,V. Crespo,Angel Gallardo,0.0,0.0,0.0,0.0,0.0,4.0,10.415302276611328,0.9365609288215637
589.0,V. Crespo,Honorio Pueyrredo,0.0,0.0,0.0,0.0,0.0,4.0,11.38242244720459,0.934725821018219
597.0,V. Crespo,Valentin Virasoro,0.0,0.0,0.0,0.0,0.25,4.0,11.919889450073242,0.9265944361686707
474.0,V. Crespo,J. B. Justo,0.0,0.0,0.0,0.0,0.0,4.0,12.916980743408203,0.9582417607307434
586.0,V. Crespo,Belaustegui,0.0,0.0,0.0,0.0,0.0,4.0,11.156906127929688,0.9428263306617737
576.0,V. Crespo,Luis Viale,0.0,0.0,0.0,0.0,0.0,4.0,11.027907371520996,0.9364261031150818
591.0,V. Crespo,Honorio Pueyrredo,0.0,0.0,0.0,0.0,0.0,4.0,11.38242244720459,0.934725821018219
